folio,ronda,en_encuesta,en_evaluaciones,en_cuestionario_nino,sexo,edad_anios,edad_meses_eval,region,comuna,area,fexp_transversal_enc,fexp_transversal_eval
101081,2017,1,1,1.0,2.0,10.0,132.0,15.0,15101.0,,73.0,75.0
101081,2024,1,1,1.0,2.0,17.0,,15.0,15101.0,,83.25807977193327,83.25807977193327
101101,2010,1,1,,1.0,3.0,39.0,15.0,,1.0,52.96609878540039,57.8703727722168
101101,2012,1,1,,1.0,5.0,67.0,15.0,,1.0,68.63143920898438,78.125
101101,2017,1,1,1.0,1.0,11.0,132.0,15.0,15101.0,,73.0,75.0
101101,2024,1,1,1.0,1.0,17.0,,15.0,15101.0,,76.35328337653158,76.35328337653158
101141,2010,1,1,,1.0,3.0,40.0,15.0,,1.0,52.96609878540039,57.8703727722168
101141,2012,1,1,,1.0,5.0,65.0,15.0,,1.0,66.11632537841797,78.125
101141,2017,1,1,1.0,1.0,10.0,134.0,15.0,15101.0,,73.0,75.0
101141,2024,1,1,1.0,1.0,17.0,,15.0,15101.0,,78.3623536669201,78.3623536669201
101151,2010,1,1,,1.0,3.0,40.0,15.0,,1.0,52.96609878540039,57.8703727722168
101151,2012,1,1,,1.0,5.0,68.0,15.0,,1.0,75.83673095703125,78.125
101171,2010,1,1,,2.0,3.0,39.0,15.0,,1.0,52.96609878540039,57.8703727722168
101171,2012,1,1,,2.0,5.0,65.0,15.0,,1.0,68.63143920898438,78.125
101171,2017,1,1,1.0,2.0,11.0,135.0,15.0,15101.0,,73.0,75.0
101171,2024,1,1,1.0,2.0,17.0,,15.0,15101.0,,81.12349183937094,81.12349183937094
101181,2010,1,1,,1.0,3.0,38.0,15.0,,1.0,52.96609878540039,57.8703727722168
101181,2017,1,1,1.0,1.0,11.0,135.0,15.0,15101.0,,73.0,75.0
101201,2010,1,1,,1.0,3.0,39.0,15.0,,1.0,52.96609878540039,57.8703727722168
101201,2017,1,1,1.0,1.0,10.0,136.0,6.0,6301.0,,73.0,75.0
101201,2024,1,1,1.0,1.0,17.0,,6.0,6301.0,,86.60190582660154,86.60190582660154
101211,2010,1,1,,1.0,3.0,38.0,15.0,,1.0,52.96609878540039,57.8703727722168
101231,2010,1,1,,1.0,3.0,38.0,15.0,,1.0,52.96609878540039,57.8703727722168
101231,2012,1,0,,1.0,5.0,,15.0,,1.0,75.83673095703125,
101231,2017,1,1,1.0,1.0,10.0,130.0,15.0,15101.0,,73.0,75.0
101241,2010,1,0,,2.0,3.0,,15.0,,1.0,52.96609878540039,
101241,2017,1,1,1.0,2.0,11.0,136.0,15.0,15101.0,,73.0,75.0
101251,2010,1,1,,2.0,3.0,38.0,15.0,,1.0,52.96609878540039,57.8703727722168
101251,2012,1,1,,2.0,5.0,65.0,15.0,,1.0,75.83673095703125,78.125
101301,2010,1,1,,1.0,3.0,37.0,15.0,,1.0,52.96609878540039,57.8703727722168
101301,2012,1,1,,1.0,5.0,63.0,15.0,,1.0,65.68546295166016,78.125
101301,2017,1,1,1.0,1.0,10.0,129.0,15.0,15101.0,,73.0,75.0
101301,2024,1,1,1.0,1.0,17.0,,15.0,15101.0,,78.1605123332704,78.1605123332704
101321,2010,1,1,,2.0,3.0,36.0,15.0,,1.0,52.96609878540039,57.8703727722168
101321,2012,1,1,,2.0,5.0,62.0,15.0,,1.0,67.94828033447266,78.125
101321,2017,1,1,1.0,2.0,10.0,129.0,15.0,15101.0,,73.0,75.0
101331,2010,1,1,,2.0,3.0,37.0,15.0,,1.0,52.96609878540039,57.8703727722168
101331,2012,1,0,,2.0,5.0,,15.0,,1.0,67.94828033447266,
101341,2010,1,1,,2.0,3.0,37.0,15.0,,1.0,52.96609878540039,57.8703727722168
101341,2012,1,1,,2.0,5.0,63.0,15.0,,1.0,65.68546295166016,78.125
101341,2017,1,1,1.0,2.0,10.0,130.0,15.0,15101.0,,73.0,75.0
101351,2010,1,1,,1.0,3.0,37.0,15.0,,1.0,52.96609878540039,57.8703727722168
101351,2012,1,1,,1.0,5.0,63.0,15.0,,1.0,68.63143920898438,78.125
101351,2017,1,1,1.0,1.0,11.0,133.0,15.0,15101.0,,73.0,75.0
101351,2024,1,1,1.0,1.0,17.0,,15.0,15101.0,,76.35328337653158,76.35328337653158
101361,2010,1,1,,1.0,3.0,36.0,15.0,,1.0,52.96609878540039,57.8703727722168
101381,2010,1,1,,2.0,3.0,36.0,15.0,,1.0,52.96609878540039,57.8703727722168
101381,2012,1,1,,2.0,5.0,63.0,15.0,,1.0,66.11632537841797,78.125
