folio,en_2010,en_eval_2010,en_2012,en_eval_2012,en_2017,en_eval_2017,en_2024,en_eval_2024,n_rondas,patron_participacion,muestra_origen,sexo,sexo_consistente,muestra_2012,fexp_encP_2012,fexp_testP_2012,espanel_2017,fexp_hogP_2017,fexp_encP_2017,fexp_evaP_2017,fexp_encP_1217_2017,fexp_evaP_1217_2017,fexp_encP_1017_2017,fexp_evaP_1017_2017,f_exp_1024,f_exp_101224,f_exp_101724,f_exp_10121724
101481,1,1,1,0,1,1,1,1,4,1111,original_2010,2.0,1,1.0,68.63143920898438,,1.0,40.21444320678711,80.42888641357422,,80.42888641357422,,69.9420166015625,76.80724334716797,74.45830881020692,88.99268072676976,84.27303655170792,96.62295902687272
101521,1,1,1,1,1,1,1,1,4,1111,original_2010,2.0,1,1.0,65.68546295166016,74.81822967529297,1.0,75.37996673583984,75.37996673583984,86.54216003417969,75.37996673583984,82.17312622070312,69.9420166015625,74.17255401611328,92.55806856907857,95.27031900891134,103.27638575353225,105.27033899202716
101531,1,1,0,0,0,0,1,1,2,1001,original_2010,1.0,1,,,,,,,,,,,,73.90979675156842,,,
101541,1,1,1,1,1,1,1,1,4,1111,original_2010,1.0,1,1.0,67.94828033447266,82.4063491821289,1.0,80.92804718017578,80.92804718017578,97.76055908203125,80.92804718017578,92.8251724243164,70.67255401611328,81.23274993896484,105.48090921972259,120.6358909950454,118.59741332061866,123.8886087034372
101551,1,1,0,0,0,0,0,0,1,1000,original_2010,2.0,1,,,,,,,,,,,,,,,
101561,1,1,0,0,0,0,0,0,1,1000,original_2010,2.0,1,,,,,,,,,,,,,,,
101571,1,1,1,1,1,1,1,1,4,1111,original_2010,2.0,1,1.0,66.11632537841797,74.81822967529297,1.0,80.42888641357422,80.42888641357422,93.05647277832031,80.42888641357422,88.35856628417969,70.67255401611328,79.9533920288086,68.18586199660317,81.35492154220134,78.44757418160103,88.34234412939166
101581,1,1,1,1,1,1,1,1,4,1111,original_2010,2.0,1,1.0,67.94828033447266,82.4063491821289,1.0,87.32279968261719,87.32279968261719,103.5206527709961,87.32279968261719,98.29447174072266,76.25936126708984,81.23274993896484,75.74610464763362,88.14571477987687,82.94873730744173,93.15808946298131
101601,1,1,0,0,0,0,0,0,1,1000,original_2010,1.0,1,,,,,,,,,,,,,,,
101641,1,1,1,1,1,1,1,1,4,1111,original_2010,1.0,1,1.0,65.68546295166016,74.81822967529297,1.0,75.37996673583984,75.37996673583984,86.54216003417969,75.37996673583984,82.17312622070312,69.9420166015625,74.17255401611328,73.90979675156842,90.68990469555091,81.75609849040603,96.02251736896956
101651,1,1,1,1,1,1,0,0,3,1110,original_2010,1.0,1,1.0,75.83673095703125,90.42633819580078,1.0,92.88459777832031,92.88459777832031,114.52857971191406,92.88459777832031,108.74666595458984,76.25936126708984,85.46273040771484,,,,
101671,1,1,1,1,0,0,0,0,2,1100,original_2010,1.0,1,1.0,67.94828033447266,82.4063491821289,,,,,,,,,,,,
101691,1,1,1,1,0,0,1,1,3,1101,original_2010,2.0,1,1.0,68.63143920898438,84.59453582763672,,,,,,,,,66.87718930957897,,75.57815076658858,
101721,1,1,1,0,1,1,1,1,4,1111,original_2010,2.0,1,1.0,75.83673095703125,,1.0,92.88459777832031,92.88459777832031,,92.88459777832031,,76.25936126708984,85.46273040771484,91.0660541346314,104.76835349568557,111.40991502443514,120.31279159428917
101751,1,1,0,0,1,1,0,0,2,1010,original_2010,1.0,1,,,,1.0,,,,,,70.67255401611328,76.80724334716797,,,,
